Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
13/3/2025,OPT,PSE,Gaza Strip,"31,5272","34,4835",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,93729,14/4/2025,18/9/2025
10/3/2025,OPT,PSE,Gaza Strip,"31,5304","34,4215",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,93705,14/4/2025,23/9/2025
28/2/2025,OPT,PSE,Gaza Strip,"31,5304","34,4215",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,94041,14/4/2025,23/9/2025
26/2/2025,OPT,PSE,Gaza Strip,"31,4214","34,3865",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,94031,14/4/2025,23/9/2025
14/2/2025,OPT,PSE,Gaza Strip,"31,5428","34,4575",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Shelling,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,93945,14/4/2025,28/9/2025
9/2/2025,OPT,PSE,Gaza Strip,"31,5032","34,2877",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,93904,14/4/2025,23/9/2025
9/2/2025,OPT,PSE,Gaza Strip,"31,2842","34,2482",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Food Production,Damage/Destruction Of Agricultural Land,93905,14/4/2025,23/9/2025
4/2/2025,OPT,PSE,Gaza Strip,"31,5304","34,4215",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,"Attack On Persons Carrying Out Food Activity, Access Constraints",93868,14/4/2025,23/9/2025
3/2/2025,OPT,PSE,Gaza Strip,"31,5304","34,4215",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Food-Related Equipment",93858,14/4/2025,23/9/2025
2/2/2025,OPT,PSE,Gaza Strip,"31,4675","34,4097",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Food Production,Damage/Destruction Of Food-Related Equipment,93850,14/4/2025,23/9/2025
31/1/2025,OPT,PSE,Gaza Strip,"31,4646","34,3592",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Food-Related Equipment",94267,14/4/2025,23/9/2025
29/1/2025,OPT,PSE,Gaza Strip,"31,3822","34,271",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,94254,14/4/2025,23/9/2025
21/1/2025,OPT,PSE,Gaza Strip,"31,5245","34,4326",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Shelling,"Food Supply, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Commercial Food Transport",94214,14/4/2025,23/9/2025
17/1/2025,OPT,PSE,Gaza Strip,"31,3484","34,2961",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",94181,14/4/2025,23/9/2025
15/1/2025,OPT,PSE,Gaza Strip,"31,2752047","34,2558269","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,Aid Systems,Attack On Distribution Site,88776,21/2/2025,18/9/2025
15/1/2025,OPT,PSE,Gaza Strip,"31,3443293","34,3095897","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,Aid Systems,Attack On Distribution Site,88784,22/2/2025,18/9/2025
15/1/2025,OPT,PSE,Gaza Strip,"31,28848997","34,24980283",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,Attack On Aid Workers Carrying Out Food-Related Programme,93326,27/3/2025,18/9/2025
15/1/2025,OPT,PSE,Gaza Strip,"31,4323","34,3283",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,94163,14/4/2025,23/9/2025
14/1/2025,OPT,PSE,Gaza Strip,"31,3484","34,2961",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,94154,14/4/2025,23/9/2025
14/1/2025,OPT,PSE,Gaza Strip,"31,323","34,2761",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,94155,14/4/2025,23/9/2025
13/1/2025,OPT,PSE,Gaza Strip,"31,5349","34,4667",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Violence Affecting Marketgoers,94148,14/4/2025,23/9/2025
11/1/2025,OPT,PSE,Gaza Strip,"31,4486","34,3925",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,94126,14/4/2025,23/9/2025
7/1/2025,OPT,PSE,Gaza Strip,"31,3424","34,325",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Artillery,Food Production,Damage/Destruction Of Agricultural Land,94090,14/4/2025,23/9/2025
6/1/2025,OPT,PSE,Gaza Strip,"31,4183455","34,3502476","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Disruption Of Aid, Attack On Aid Workers Carrying Out Food-Related Programme",88753,21/2/2025,18/9/2025
6/1/2025,OPT,PSE,Gaza Strip,"31,2855","34,2714",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Agricultural Land",94078,14/4/2025,23/9/2025
5/1/2025,OPT,PSE,Gaza Strip,"31,5128679","34,4581358","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,Disruption Of Aid,88440,9/2/2025,18/9/2025
4/1/2025,OPT,PSE,Gaza Strip,"31,5168","34,4355",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,94066,14/4/2025,23/9/2025
4/1/2025,OPT,PSE,Gaza Strip,"31,3739","34,3409",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,94067,14/4/2025,23/9/2025
4/1/2025,OPT,PSE,Gaza Strip,"31,5272","34,4835",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,94068,14/4/2025,23/9/2025
1/1/2025,OPT,PSE,Gaza Strip,"31,4988","34,4699",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Agricultural Land",94050,14/4/2025,23/9/2025
26/12/2024,OPT,PSE,Gaza Strip,"31,4646","34,3592",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,91144,13/3/2025,18/9/2025
